Reaction Smiles,Yield /%
NCC1=CC=CC=C1.O=C(O)C1=CC=C(I)C=C1>OB(O)C1=C(I)C=CC=C1>O=C(NCc1ccccc1)c1ccc(I)cc1,24
C[C@@]1(CCC2)C(C=CC(C(C)C)=C3)=C3CC[C@@]1([H])[C@]2(C)CN.OC(CCC=C)=O>OB(O)C1=C(I)C=CC=C1>C=CCCC(=O)NC[C@]1(C)CCC[C@]2(C)c3ccc(C(C)C)cc3CC[C@H]21,74
NCC1=CC=CC=C1.OC(COC(C=C12)=CC=C2NC=C1CCNC(OC(C)(C)C)=O)=O>OB(O)C1=C(I)C=CC=C1>CC(C)(C)OC(=O)NCCc1c[nH]c2ccc(OCC(=O)NCc3ccccc3)cc12,95
CC1=C(C2=C(N1)C=CC(OC)=C2)CC(NCC(C)C)=O.ClC1=CC=C(C=C1)C(O)=O>OB(O)C1=C(Br)C=CC=C1>COc1ccc2[nH]c(C)c(CC(=O)N(CC(C)C)C(=O)c3ccc(Cl)cc3)c2c1,73
CC1=C(C2=C(N1)C=CC(OC)=C2)CC(NCC3=CC=CC=C3)=O.ClC1=CC=C(C=C1)C(O)=O>OB(O)C1=C(Br)C=CC=C1>COc1ccc2[nH]c(C)c(CC(=O)N(Cc3ccccc3)C(=O)c3ccc(Cl)cc3)c2c1,93
NCC1=CC=CC=C1.C[C@H](C(O)=O)C1=CC=C(CC(C)C)C=C1>OB(O)C1=C(I)C=CC=C1>CC(C)Cc1ccc([C@H](C)C(=O)NCc2ccccc2)cc1,73
N[C@H](C)C1=CC=CC=C1.C[C@H](C(O)=O)C1=CC=C(CC(C)C)C=C1>OB(O)C1=C(I)C=CC=C1>CC(C)Cc1ccc([C@H](C)C(=O)N[C@H](C)c2ccccc2)cc1,70
CC1CC(C)CNC1.O=C(O)CCCC1=CC=CC=C1>OB(O)C1=CC(F)=C(F)C(F)=C1>CC1CC(C)CN(C(=O)CCCc2ccccc2)C1,74
CC1CC(C)CNC1.O=C(O)CCCC1=CC=CC=C1>OB(O)C1=CC([N+]([O-])=O)=CC=C1>CC1CC(C)CN(C(=O)CCCc2ccccc2)C1,60
CC1CC(C)CNC1.O=C(O)CCCC1=CC=CC=C1>OB(O)C1=CC(C(F)(F)F)=CC(C(F)(F)F)=C1>CC1CC(C)CN(C(=O)CCCc2ccccc2)C1,56
CC1CC(C)CNC1.O=C(O)CCCC1=CC=CC=C1>OB(O)C1=CC=C(C(F)(F)F)C=C1>CC1CC(C)CN(C(=O)CCCc2ccccc2)C1,54
CC1CC(C)CNC1.O=C(O)CCCC1=CC=CC=C1>OB(O)C1=CC=CC=C1>CC1CC(C)CN(C(=O)CCCc2ccccc2)C1,23
CC1CC(C)CNC1.O=C(O)CCCC1=CC=CC=C1>OB(O)C1=C(C(F)(F)F)C=C(C(F)(F)F)C=C1C(F)(F)F>CC1CC(C)CN(C(=O)CCCc2ccccc2)C1,21
CC1CC(C)CNC1.O=C(O)CCCC1=CC=CC=C1>OB(C1=CC(F)=C(F)C(F)=C1F)O>CC1CC(C)CN(C(=O)CCCc2ccccc2)C1,11
NCC1=CC=CC=C1.O=C(O)CCCC1=CC=CC=C1>OB(O)C1=CC(F)=C(F)C(F)=C1>O=C(CCCc1ccccc1)NCc1ccccc1,96
CC1CC(C)CNC1.O=C(O)CCCC1=CC=CC=C1>OB(O)C1=CC(F)=C(F)C(F)=C1>CC1CC(C)CN(C(=O)CCCc2ccccc2)C1,99
CCCNCCC.O=C(O)CCCC1=CC=CC=C1>OB(O)C1=CC(F)=C(F)C(F)=C1>CCCN(CCC)C(=O)CCCc1ccccc1,56
CCCNCCC.O=C(O)CCCC1=CC=CC=C1>OB(O)C1=CC(F)=C(F)C(F)=C1>CCCN(CCC)C(=O)CCCc1ccccc1,99
NC1=CC=CC=C1.O=C(O)CCCC1=CC=CC=C1>OB(O)C1=CC(F)=C(F)C(F)=C1>O=C(CCCc1ccccc1)Nc1ccccc1,99
NCC1=CC=CC=C1.O=C(O)C1CCCCC1>OB(O)C1=CC(F)=C(F)C(F)=C1>O=C(NCc1ccccc1)C1CCCCC1,96
NCCC1=CC=CC=C1.O=C(C12CC3CC(C2)CC(C3)C1)O>OB(O)C1=CC(F)=C(F)C(F)=C1>O=C(NCCc1ccccc1)C12CC3CC(CC(C3)C1)C2,92
CC1CC(CNC1)C.O=C(O)/C=C/C1=CC=CC=C1>OB(O)C1=CC(F)=C(F)C(F)=C1>CC1CC(C)CN(C(=O)/C=C/c2ccccc2)C1,99
CC1CC(CNC1)C.O=C(O)C1=CC=CC=C1>OB(O)C1=CC(F)=C(F)C(F)=C1>CC1CC(C)CN(C(=O)c2ccccc2)C1,95
NCC1=CC=CC=C1.O=C(O)[C@@H](O)C1=CC=CC=C1>OB(O)C1=CC(F)=C(F)C(F)=C1>O=C(NCc1ccccc1)[C@@H](O)c1ccccc1,95
NCC1=CC=CC=C1.O=C(O)[C@@H](O)C(CC)C>OB(O)C1=CC(F)=C(F)C(F)=C1>CCC(C)[C@H](O)C(=O)NCc1ccccc1,87
NCC1=CC=CC=C1.O=C(O)[C@@H](O)C(C)C>OB(O)C1=CC(F)=C(F)C(F)=C1>CC(C)[C@H](O)C(=O)NCc1ccccc1,96
NC(C)C1=CC=CC=C1.OC(C1=CC=CC=C1)=O>OB(C1=C(C=CC=C1)CN(C(C)C)C(C)C)O>CC(NC(=O)c1ccccc1)c1ccccc1,52
